Model,OperationalRank,SafetyRank,Org.,Size,Released,CodeLMArena,MathLiveBench,CodeLiveBench,Input Cost/M,Output Cost/M,CutoffKnowledge,ContextLength,License,SafeResponses,UnsafeResponses,JailbreakingResistance
Gemini 1.5 Flash,#2,N/A,Google,8B Parameters,24-Sep-24,1167,-,-,$0.04 ,$0.15 ,Sep-24,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini 2.0 Flash,#3,N/A,Google,-,05-Feb-25,1271,65.60%,26.20%,$0.10 ,$0.40 ,Aug-24,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini 2.0 Flash-Lite,#5,N/A,Google,-,05-Feb-25,1246,55.50%,23.40%,$0.08 ,$0.30 ,Aug-24,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini 2.0 Pro,#18,N/A,Google,-,05-Feb-25,1298,71.00%,35.30%,-,-,Aug-24,2M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini 2.5 Flash,#4,N/A,Google,-,17-Apr-25,-,-,58.40%,$0.15 ,$0.60 ,Jan-25,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini 2.5 Pro,#6,N/A,Google,-,25-Mar-25,1352,90.20%,58.10%,$1.25 ,$10 ,Jan-25,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini Exp 1114,#43,N/A,Google,-,14-Nov-24,-,54.90%,-,-,-,Aug-24,"32,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini Exp 1121,#37,N/A,Google,-,21-Nov-24,-,62.70%,-,-,-,Aug-24,"32,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemini Exp 1206,#20,N/A,Google,-,06-Dec-24,-,70.00%,-,-,-,Aug-24,2M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 1 2B,#49,N/A,Google,2B Parameters,21-Feb-24,-,-,22.00%,-,-,Jul-23,"8,192 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 1 7B,#48,N/A,Google,7B Parameters,21-Feb-24,-,51.80%,32.30%,-,-,Jul-23,"8,192 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 2 27B,#35,N/A,Google,27B Parameters,27-Jun-24,1218,74.00%,51.80%,-,-,Apr-24,"8,192 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 2 2B,#51,N/A,Google,2B Parameters,31-Jul-24,-,-,20.10%,-,-,Apr-24,"8,192 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 2 9B,#39,#7,Google,9B Parameters,27-Jun-24,1187,68.60%,40.20%,-,-,Apr-24,"8,192 tokens",Open Source,98%,1%,2%
,,,,,,,,,,,,,,,,
Gemma 3 12B,#56,N/A,Google,12B Parameters,10-Mar-25,-,-,-,-,-,Dec-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 3 1B,#54,N/A,Google,1B Parameters,10-Mar-25,-,-,-,-,-,Dec-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 3 27B,#29,N/A,Google,27B Parameters,10-Mar-25,1218,-,-,-,-,Dec-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Gemma 3 4B,#55,N/A,Google,4B Parameters,10-Mar-25,-,-,-,-,-,Dec-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
GPT 4.1,#7,#3,OpenAI,-,14-Apr-25,1385,72.00%,54.60%,$2 ,$8 ,Jun-24,1M tokens,Proprietary,97%,2%,34%
,,,,,,,,,,,,,,,,
GPT 4.1 mini,#8,N/A,OpenAI,-,14-Apr-25,-,-,47.60%,$0.40 ,$1.60 ,Jun-24,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
GPT 4.1 nano,#11,#4,OpenAI,-,14-Apr-25,-,-,25.30%,$0.10 ,$0.40 ,Jun-24,1M tokens,Proprietary,95%,4%,34%
,,,,,,,,,,,,,,,,
GPT 4.5,#77,#2,OpenAI,-,27-Feb-25,1362,69.30%,76.10%,$75 ,$150 ,-,"128,000 tokens",Proprietary,99.60%,0.40%,97.30%
,,,,,,,,,,,,,,,,
GPT 4o,#28,N/A,OpenAI,-,26-Mar-25,1385,-,77.50%,$5 ,$15 ,Oct-23,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
GPT 4o mini,#22,N/A,OpenAI,-,18-Jul-24,1245,35.60%,25.50%,$0.15 ,$0.60 ,Oct-23,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Grok-3,#70,#11,xAI,300B Parameters,01-May-24,-,-,-,-,-,-,"128,000 tokens",Proprietary,2.70%,97.30%,2.70%
,,,,,,,,,,,,,,,,
Llama 3.1,#23,N/A,Meta,70B Parameters,23-Jul-24,1209,34.40%,-,$1 ,$3 ,Dec-23,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 3.2,#12,N/A,Meta,3B Parameters,25-Sep-24,1048,-,-,$0.08 ,$0.10 ,Dec-23,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 3.2 (Vision),#38,N/A,Meta,90B Parameters,25-Sep-24,-,-,-,$0.90 ,$0.90 ,Dec-23,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 3.3,#19,N/A,Meta,70B Parameters,06-Dec-24,1232,41.10%,-,$0.10 ,$0.40 ,Dec-23,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 4 Behemoth,#58,N/A,Meta,2T Parameters,05-Apr-25,-,-,-,-,-,Aug-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 4 Maverick,#1,N/A,Meta,400B Parameters,05-Apr-25,1265,-,-,$0.19 ,$0.49 ,Aug-24,1M tokens,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Llama 4 Maverick 17B 128e Instruct,#33,#9,Meta,17B Parameters (400B total with MoE),05-Apr-25,-,-,-,$0.20 ,$0.60 ,Aug-24,"128,000 tokens",Open Source,93%,6%,1%
,,,,,,,,,,,,,,,,
Llama 4 Scout,#42,N/A,Meta,109B Parameters,05-Apr-25,-,-,-,-,-,Aug-24,10M tokens,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
llama-3.1-8b-instant,#64,#8,Meta,8B Parameters,23-Jul-24,-,-,-,-,-,Dec-23,"128,000 tokens",Open Source,94%,5%,1%
,,,,,,,,,,,,,,,,
Llama-4-scout-17b-16e-instruct,#52,#10,Meta,17B Parameters (MoE),05-Apr-25,-,-,-,-,-,Aug-24,"128,000 tokens",Open Source,91%,8%,1%
,,,,,,,,,,,,,,,,
Mistral Large,#25,N/A,Mistral,123B Parameters,18-Nov-24,1228,32.60%,-,$2 ,$6 ,Jul-24,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Mistral Large,#25,N/A,Mistral,123B Parameters,24-Jul-24,1244,43.70%,-,$2 ,$6 ,Jul-24,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Mistral Medium 3,#36,N/A,Mistral,-,07-May-25,-,-,-,$0.40 ,$2 ,-,-,-,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Mistral Nemo,#32,N/A,Mistral,12B Parameters,24-Jul-24,-,16.90%,-,$0.15 ,$0.15 ,Apr-24,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Mistral Small 3,#57,N/A,Mistral,24B Parameters,30-Jan-25,-,-,-,-,-,-,"32,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Mistral Small 3.1,#53,N/A,Mistral,24B Parameters,17-Mar-25,-,-,-,-,-,-,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Pixtral Large,#47,N/A,Mistral,123B Parameters,18-Nov-24,-,-,-,$2 ,$6 ,-,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,7B Parameters,19-Sep-24,-,38.20%,-,-,-,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,72B Parameters,19-Sep-24,1247,52.40%,-,$0.38 ,$0.57 ,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,32B Parameters,19-Sep-24,-,-,-,-,-,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,14B Parameters,19-Sep-24,-,-,-,-,-,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,1.5B Parameters,19-Sep-24,-,-,-,-,-,Sep-24,"32,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5,#15,N/A,Alibaba,3B Parameters,19-Sep-24,-,-,-,-,-,Sep-24,"32,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,32B Parameters,12-Nov-24,1227,46.00%,-,$0.20 ,$0.20 ,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,14B Parameters,12-Nov-24,-,-,-,-,-,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,7B Parameters,12-Nov-24,-,-,-,-,-,Sep-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,3B Parameters,12-Nov-24,-,-,-,-,-,Sep-24,"32,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,1.5B Parameters,12-Nov-24,-,-,-,$0.20 ,$0.60 ,Sep-24,"32,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Coder,#16,N/A,Alibaba,0.5B Parameters,12-Nov-24,-,-,-,-,-,Sep-24,"32,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Max,#24,N/A,Alibaba,-,28-Jan-25,-,-,33.80%,$0 ,$0.01 ,Sep-24,"32,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5 Turbo,#45,N/A,Alibaba,-,15-Nov-24,-,-,-,-,-,Sep-24,1M tokens,Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Qwen 2.5VL,#59,N/A,Alibaba,32B Parameters,24-Mar-25,-,-,-,-,-,-,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
qwen-qwq-32b,#66,#6,Alibaba,32B Parameters,12-Oct-24,-,-,-,-,-,Sep-24,"128,000 tokens",Open Source,94%,5%,12%
,,,,,,,,,,,,,,,,
R1 Distill Llama,#44,N/A,DeepSeek,70B Parameters,20-Jan-25,-,-,46.60%,-,-,Dec-23,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Distill Llama,#44,N/A,DeepSeek,8B Parameters,20-Jan-25,-,-,-,-,-,Dec-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Distill Qwen,#40,N/A,DeepSeek,32B Parameters,20-Jan-25,-,-,52.30%,-,-,Sep-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Distill Qwen,#40,N/A,DeepSeek,14B Parameters,20-Jan-25,-,-,-,-,-,Sep-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Distill Qwen,#40,N/A,DeepSeek,7B Parameters,20-Jan-25,-,-,-,-,-,Sep-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Distill Qwen,#40,N/A,DeepSeek,1.5B Parameters,20-Jan-25,-,-,-,-,-,Sep-24,-,Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
R1 Lite Preview,#75,N/A,DeepSeek,-,20-Nov-24,-,-,-,-,-,-,-,Proprietary,N/A,N/A,N/A
